Period,Item_Code,Item,Population,Units,Net_Price,Net_Revenue,Approved_Cost_per_Unit,Classic_CM_per_Unit
2026-04,F08,Chocolate Tart,Starters & Desserts,490,14.0,6860.0,4.6,9.4
2026-04,B01,House Beer,Beverages,882,8.0,7056.0,1.8,6.2
2026-04,B02,Local Wine,Beverages,490,18.0,8820.0,4.8,13.2
2026-04,B03,Soft Drinks,Beverages,784,5.0,3920.0,0.9,4.1
2026-04,B04,Cocktails,Beverages,392,18.0,7056.0,3.6,14.4
2026-05,F01,Ribeye Steak,Mains,909,45.0,40905.0,17.0,28.0
2026-05,F02,House Burger,Mains,1616,22.0,35552.0,7.0,15.0
2026-05,F03,Club Sandwich,Mains,1515,18.0,27270.0,5.5,12.5
2026-05,F04,Grilled Chicken,Mains,1414,24.0,33936.0,6.5,17.5
2026-05,F05,Local Seafood Plate,Mains,707,38.0,26866.0,12.5,25.5
2026-05,F06,Vegan Curry,Mains,808,19.0,15352.0,5.0,14.0
2026-05,F07,Seasonal Soup,Starters & Desserts,505,12.0,6060.0,3.0,9.0
2026-05,F08,Chocolate Tart,Starters & Desserts,505,14.0,7070.0,4.6,9.4
2026-05,B01,House Beer,Beverages,909,8.0,7272.0,1.8,6.2
2026-05,B02,Local Wine,Beverages,505,18.0,9090.0,4.8,13.2
2026-05,B03,Soft Drinks,Beverages,808,5.0,4040.0,0.9,4.1
2026-05,B04,Cocktails,Beverages,404,18.0,7272.0,3.6,14.4
2026-06,F01,Ribeye Steak,Mains,900,45.0,40500.0,17.0,28.0
2026-06,F02,House Burger,Mains,1600,22.0,35200.0,7.0,15.0
2026-06,F03,Club Sandwich,Mains,1500,18.0,27000.0,5.5,12.5
2026-06,F04,Grilled Chicken,Mains,1400,24.0,33600.0,6.5,17.5
2026-06,F05,Local Seafood Plate,Mains,700,38.0,26600.0,12.5,25.5
2026-06,F06,Vegan Curry,Mains,800,19.0,15200.0,5.0,14.0
2026-06,F07,Seasonal Soup,Starters & Desserts,500,12.0,6000.0,3.0,9.0
2026-06,F08,Chocolate Tart,Starters & Desserts,500,14.0,7000.0,4.6,9.4
2026-06,B01,House Beer,Beverages,900,8.0,7200.0,1.8,6.2
2026-06,B02,Local Wine,Beverages,500,18.0,9000.0,4.8,13.2
2026-06,B03,Soft Drinks,Beverages,800,5.0,4000.0,0.9,4.1
2026-06,B04,Cocktails,Beverages,400,18.0,7200.0,3.6,14.4
2026-07,F01,Ribeye Steak,Mains,900,45.0,40500.0,17.0,28.0
2026-07,F02,House Burger,Mains,1600,22.0,35200.0,7.0,15.0
2026-07,F03,Club Sandwich,Mains,1500,18.0,27000.0,5.5,12.5
2026-07,F04,Grilled Chicken,Mains,1400,24.0,33600.0,6.5,17.5
2026-07,F05,Local Seafood Plate,Mains,700,38.0,26600.0,12.5,25.5
2026-07,F06,Vegan Curry,Mains,800,19.0,15200.0,5.0,14.0
2026-07,F07,Seasonal Soup,Starters & Desserts,500,12.0,6000.0,3.0,9.0
2026-07,F08,Chocolate Tart,Starters & Desserts,500,14.0,7000.0,4.6,9.4
2026-07,B01,House Beer,Beverages,900,8.0,7200.0,1.8,6.2
2026-07,B02,Local Wine,Beverages,500,18.0,9000.0,4.8,13.2
2026-07,B03,Soft Drinks,Beverages,800,5.0,4000.0,0.9,4.1
2026-07,B04,Cocktails,Beverages,400,18.0,7200.0,3.6,14.4
2026-08,F01,Ribeye Steak,Mains,828,45.0,37260.0,17.0,28.0
2026-08,F02,House Burger,Mains,1616,22.0,35552.0,7.0,15.0
2026-08,F03,Club Sandwich,Mains,1500,18.0,27000.0,5.5,12.5
2026-08,F04,Grilled Chicken,Mains,1456,24.0,34944.0,6.5,17.5
2026-08,F05,Local Seafood Plate,Mains,735,38.0,27930.0,12.5,25.5
2026-08,F06,Vegan Curry,Mains,816,19.0,15504.0,5.0,14.0
2026-08,F07,Seasonal Soup,Starters & Desserts,510,12.0,6120.0,3.0,9.0
2026-08,F08,Chocolate Tart,Starters & Desserts,525,14.0,7350.0,4.6,9.4
2026-08,B01,House Beer,Beverages,918,8.0,7344.0,1.8,6.2
2026-08,B02,Local Wine,Beverages,510,18.0,9180.0,4.8,13.2
2026-08,B03,Soft Drinks,Beverages,800,5.0,4000.0,0.9,4.1
2026-08,B04,Cocktails,Beverages,416,18.0,7488.0,3.6,14.4
