Check_ID,Meal_Period,Item_Code,Item,Qty,Net_Revenue,Approved_Cost,Classic_CM
JUL26-00239,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00246,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00253,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00260,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00267,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00274,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00281,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00288,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00295,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00302,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00309,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00316,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00323,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00330,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00337,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00344,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00351,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00358,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00365,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00372,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00379,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00386,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00393,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00400,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00407,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00414,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00421,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00428,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00435,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00442,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00449,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00456,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00463,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00470,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00477,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00484,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00491,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00498,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00505,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00512,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00519,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00526,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00533,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00540,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00547,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00554,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00561,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00568,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00575,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00582,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00589,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00596,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00603,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00610,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00617,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00624,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00631,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00638,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00645,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00652,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00659,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00666,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00673,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00680,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00687,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00694,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00701,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00708,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00715,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00722,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00729,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00736,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00743,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00750,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00757,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00764,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00771,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00778,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00785,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00792,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00799,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00806,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00813,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00820,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00827,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00834,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00841,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00848,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00855,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00862,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00869,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00876,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00883,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00890,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00897,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00904,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00911,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00918,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00925,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00932,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00939,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00946,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00953,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00960,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00967,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00974,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00981,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00988,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00995,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01002,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01009,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01016,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01023,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01030,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01037,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01044,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01051,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01058,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01065,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01072,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01079,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01086,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01093,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01100,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01107,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01114,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01121,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01128,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01135,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01142,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01149,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01156,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01163,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01170,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01177,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01184,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01191,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01198,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01205,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01212,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01219,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01226,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01233,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01240,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01247,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01254,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01261,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01268,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01275,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01282,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01289,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01296,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01303,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01310,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01317,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01324,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01331,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01338,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01345,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01352,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01359,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01366,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01373,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01380,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01387,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01394,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01401,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01408,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01415,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01422,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01429,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01436,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01443,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01450,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01457,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01464,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01471,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01478,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01485,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01492,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01499,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01506,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01513,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01520,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01527,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01534,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01541,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01548,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01555,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01562,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01569,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01576,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01583,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01590,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01597,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01604,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01611,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01618,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01625,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01632,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01639,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01646,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01653,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01660,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01667,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01674,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01681,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01688,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01695,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01702,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01709,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01716,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01723,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01730,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01737,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01744,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01751,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01758,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01765,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01772,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01779,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01786,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01793,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01800,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01807,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01814,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01821,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01828,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01835,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01842,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01849,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01856,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01863,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01870,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01877,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01884,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01891,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01898,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01905,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01912,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01919,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01926,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01933,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01940,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01947,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01954,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01961,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01968,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01975,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01982,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01989,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-01996,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02003,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02010,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02017,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02024,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02031,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02038,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02045,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02052,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02059,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02066,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02073,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02080,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02087,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02094,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02101,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02108,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02115,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02122,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02129,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02136,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02143,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02150,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02157,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02164,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02171,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02178,Lunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02185,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02192,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02199,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02206,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02213,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02220,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02227,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02234,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02241,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02248,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02255,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02262,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02269,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02276,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02283,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02290,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02297,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02304,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02311,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02318,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02325,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02332,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02339,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02346,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02353,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02360,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02367,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02374,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02381,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02388,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02395,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02402,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02409,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02416,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02423,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02430,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02437,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02444,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02451,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02458,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02465,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02472,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02479,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-02486,Dinner,F01,Ribeye Steak,1,45.0,17.0,28.0
